ó\îıëIî≤No.,Brixè„,BrixíÜ,BrixïΩãœ,ëIî≤(1/0)
361,19,18.2,18.6,1
362,16,14,15,0
363,17.4,11,14.2,0
364,16.6,16.6,16.6,1
365,18.4,15,16.7,1
366,18,13,15.5,1
367,18,9.2,13.6,1
368,17,8,12.5,0
369,19,19,19,0
370,18,15.8,16.9,1
371,17,16.2,16.6,0
372,19,18,18.5,0
373,17,12,14.5,0
374,16.8,14.2,15.5,0
375,18.2,16,17.1,1
376,18.6,15.2,16.9,1
377,21.4,16.2,18.8,0
378,19,14.4,16.7,0
379,19,12,15.5,0
380,18.4,15.4,16.9,1
381,18.8,12.4,15.6,0
382,17,14.8,15.9,0
383,18.4,17.2,17.8,1
384,20,16.4,18.2,1
385,18.8,11,14.9,0
386,21.4,18.8,20.1,1
387,18.2,14.8,16.5,1
388,16.4,11.4,13.9,0
389,17.8,13.2,15.5,0
390,18,13.4,15.7,0
391,17.8,13.8,15.8,0
392,15,15.4,15.2,1
393,20,18.8,19.4,1
394,19.8,16.2,18,1
395,17.8,15,16.4,1
396,17.8,14.2,16,1
397,16,14.8,15.4,1
398,21.4,17.8,19.6,1
399,19,18.8,18.9,1
400,20.4,20.8,20.6,1
401,18.4,18,18.2,1
402,18.8,14.8,16.8,0
403,19.2,17.2,18.2,1
404,18,17.8,17.9,1
405,18,17.6,17.8,1
406,20,18,19,1
407,21.8,18.4,20.1,1
408,19.2,12.8,16,0
409,20.4,18.6,19.5,1
410,21.2,21,21.1,1
411,22,19,20.5,1
412,19.4,20.4,19.9,1
413,20.8,19.2,20,1
414,20.8,18,19.4,1
415,22,17.2,19.6,1
416,21.2,21,21.1,1
417,20,19,19.5,1
418,19,15.2,17.1,0
419,21,18.4,19.7,1
420,19.2,16.8,18,1
421,20.2,15,17.6,0
422,22,21,21.5,1
423,18,16.2,17.1,0
424,20.4,17,18.7,1
425,20.2,15.2,17.7,0
426,21,18,19.5,1
427,20.6,16.2,18.4,1
428,18,16.2,17.1,1
429,19,14.2,16.6,0
430,19.2,17,18.1,1
431,16,14.2,15.1,0
432,15.2,12,13.6,0
433,18,16.2,17.1,1
434,19.2,16,17.6,1
435,21,16.2,18.6,0
436,21,17.2,19.1,1
437,17.8,16,16.9,0
438,18.2,14.2,16.2,1
439,20.4,18.8,19.6,1
440,19.8,19.2,19.5,1
441,18,16.4,17.2,1
442,17.2,15,16.1,0
443,17.2,13,15.1,0
444,20.2,19,19.6,1
445,17.6,16.2,16.9,1
446,21,17,19,1
447,19.6,16,17.8,1
448,18,14.2,16.1,0
449,20,16,18,1
450,20,17.2,18.6,1
451,18.4,18.6,18.5,1
452,18,12,15,1
453,17,13.2,15.1,0
454,17.6,14,15.8,0
455,17.4,12,14.7,0
456,18,13.2,15.6,0
457,17,12,14.5,1
458,19,15.2,17.1,1
459,20,17,18.5,1
460,18.8,18,18.4,1
461,19,13,16,1
462,19,12,15.5,0
463,17.2,16,16.6,1
464,16,14.2,15.1,0
465,16,13.2,14.6,0
466,15,12,13.5,0
467,17.2,16,16.6,0
468,17.2,15,16.1,1
469,16,14.8,15.4,0
470,19,14.2,16.6,0
471,19.6,16.2,17.9,1
472,18.6,13,15.8,1
473,16.4,15,15.7,0
474,20.2,15.2,17.7,1
475,17,14.8,15.9,0
476,18,15.2,16.6,0
477,18,17.2,17.6,1
478,19,15.2,17.1,1
479,19.8,15.2,17.5,0
480,20,16.4,18.2,1
481,20.4,17.8,19.1,1
482,19.2,15.8,17.5,0
483,15,15,15,0
484,20,11.6,15.8,1
485,17.4,14.2,15.8,0
486,18.8,13,15.9,0
487,17.4,16.2,16.8,1
488,20.6,15.2,17.9,1
489,20,13.8,16.9,1
490,19,17.4,18.2,1
491,18.2,9.6,13.9,0
492,17.6,11.4,14.5,0
493,20,18.8,19.4,1
494,20.4,20.2,20.3,1
495,18,10.4,14.2,1
496,20.8,18.2,19.5,1
497,18,13.6,15.8,0
498,17,12.6,14.8,0
499,19,15.8,17.4,1
500,17.2,9.4,13.3,0
501,18.4,14.8,16.6,1
502,18,16.2,17.1,1
503,17,10.4,13.7,0
504,17.2,12.6,14.9,1
505,16,11,13.5,0
506,15,9,12,0
507,17.4,14.4,15.9,0
508,17.8,16.2,17,1
509,17.6,13.4,15.5,0
510,17.2,13,15.1,0
511,20,11.4,15.7,0
512,19.4,12.2,15.8,1
513,18.2,11,14.6,0
514,17.2,7.4,12.3,0
515,18.2,12.4,15.3,1
516,18.2,9.4,13.8,0
517,17.2,9.2,13.2,0
518,17.8,10.2,14,1
519,14.2,11.2,12.7,0
520,16.4,11.4,13.9,0
521,19.4,18.2,18.8,1
522,15,9.8,12.4,0
523,21.2,21.2,21.2,1
524,18.2,17.4,17.8,1
525,17,14.2,15.6,0
526,18.4,16.2,17.3,1
527,18,14.8,16.4,1
528,18.4,14.2,16.3,1
529,16.4,15.2,15.8,1
530,16.8,12.8,14.8,0
531,17.8,16.2,17,1
532,15,12.8,13.9,0
533,18,13,15.5,0
534,13.8,14.6,14.2,0
535,19,18.4,18.7,1
536,16.2,12.8,14.5,0
537,17.4,16.2,16.8,0
538,19.4,15,17.2,1
539,18,16.4,17.2,1
540,17.4,12.6,15,0
541,19.8,17.2,18.5,1
542,16,11.8,13.9,0
543,18.8,16.2,17.5,1
544,18,13.8,15.9,0
545,18,15.4,16.7,1
546,15.4,14,14.7,0
547,15.4,12.2,13.8,0
548,13.2,12,12.6,0
549,16.8,14,15.4,0
550,18,13,15.5,1
551,19.8,15.4,17.6,1
552,16.4,17.2,16.8,1
553,15,16.4,15.7,1
554,16.4,12.8,14.6,0
555,17.4,13,15.2,0
556,18.8,16,17.4,1
557,17.6,10.6,14.1,0
558,17,8.2,12.6,0
559,17.2,10.2,13.7,0
560,18.4,13.4,15.9,1
561,18.2,10.2,14.2,0
562,14.4,9.4,11.9,0
563,19.4,13.6,16.5,1
564,19.8,17.4,18.6,1
565,18.4,14.6,16.5,1
566,14.4,9.4,11.9,0
567,18,17,17.5,1
568,17.2,10,13.6,0
569,16.8,8.4,12.6,0
570,17.4,9.2,13.3,1
571,15,11.8,13.4,0
572,16.4,10.4,13.4,1
573,13.2,13.2,13.2,0
574,15.2,8.4,11.8,0
575,20.2,13,16.6,1
576,16.2,12.2,14.2,0
577,20.4,16.2,18.3,1
578,21,19.2,20.1,1
579,19.8,19.2,19.5,1
580,18.2,10.4,14.3,1
581,16.2,10.8,13.5,0
582,19.8,18.2,19,1
583,17,11.8,14.4,0
584,15.8,15.2,15.5,1
585,19.2,17.4,18.3,1
586,17.8,17.2,17.5,1
587,17.4,13,15.2,0
588,19.8,16.8,18.3,1
589,19.2,18.2,18.7,1
590,19.2,18.2,18.7,1
591,19,18.6,18.8,1
592,15.4,7,11.2,0
593,17.6,18.4,18,1
594,15,16.4,15.7,1
595,17.4,17.2,17.3,1
596,19.2,14.2,16.7,1
597,18.4,15.2,16.8,1
598,16.4,14.2,15.3,0
599,15.6,13.4,14.5,0
600,15.6,15.2,15.4,1
601,15.4,12.8,14.1,0
602,17.2,13.4,15.3,0
603,14.4,12.2,13.3,0
604,18.8,19.2,19,1
605,20,19.2,19.6,1
606,18.8,15.2,17,1
607,17.4,16.8,17.1,1
608,20.2,18,19.1,1
609,17.2,16.8,17,1
610,16.8,16.2,16.5,1
611,16.2,10.4,13.3,0
612,18,18,18,1
613,19,16.8,17.9,1
614,18.6,15.4,17,1
615,17.8,15.6,16.7,1
616,17.6,14.2,15.9,0
617,17,15,16,1
618,18,13.4,15.7,1
619,17,14.2,15.6,1
620,17.8,14.2,16,1
621,18.4,15.6,17,0
622,17.8,10.2,14,1
623,13,11.2,12.1,0
624,17.2,9,13.1,1
625,18.2,15,16.6,1
626,15.4,11,13.2,0
627,18.4,17,17.7,1
628,17.4,12,14.7,0
629,16,17,16.5,1
630,14.8,7.4,11.1,0
631,17.4,17.2,17.3,1
632,18.4,16,17.2,1
633,18,18,18,1
634,14,10.2,12.1,0
635,14.8,8,11.4,0
636,14.2,7,10.6,0
637,12.2,7,9.6,0
638,15,9,12,0
639,15.8,12,13.9,1
640,11.8,9.6,10.7,0
641,17.2,14,15.6,0
642,19,18.2,18.6,1
643,12.4,12.8,12.6,0
644,18,15.2,16.6,1
645,15.2,16,15.6,1
646,21,20,20.5,1
647,16.4,15.2,15.8,1
648,19.2,15,17.1,1
649,14.8,11,12.9,0
650,15.2,14,14.6,0
651,16.2,10,13.1,0
652,15.2,14.2,14.7,0
653,15,13.8,14.4,0
654,19,16.4,17.7,1
655,16,12,14,0
656,15,13.2,14.1,1
657,17.2,11,14.1,1
658,17,13.6,15.3,1
659,16.2,15,15.6,1
660,16.2,6.4,11.3,0
661,16.6,12,14.3,1
662,13.2,7.2,10.2,0
663,15.2,9,12.1,1
664,14.8,8.8,11.8,0
665,14.8,10.4,12.6,0
666,13,7.4,10.2,0
667,11,8.2,9.6,0
668,14.2,8.4,11.3,1
669,15,12.6,13.8,1
670,13.2,8,10.6,0
671,17.2,14.2,15.7,1
672,14.8,12.2,13.5,0
673,16.2,9,12.6,0
674,17,13.2,15.1,1
675,15,10,12.5,1
676,16.4,12.4,14.4,1
677,14.8,8.4,11.6,0
678,13.4,7.2,10.3,0
679,12,7,9.5,0
680,15.2,11,13.1,0
681,15.4,8.4,11.9,0
682,17,10.2,13.6,0
683,15.8,13,14.4,0
684,19.2,19.2,19.2,1
685,17,15.2,16.1,1
686,17,14.8,15.9,1
687,19.8,17.2,18.5,1
688,14,14.8,14.4,1
689,18.2,10.2,14.2,1
690,14.2,12,13.1,0
691,17.2,9.6,13.4,1
692,19.2,17.8,18.5,1
693,17.2,10.8,14,1
694,17.6,11.4,14.5,0
695,16.8,12.8,14.8,0
696,17,8.2,12.6,0
697,17.2,15,16.1,1
698,18.4,12.2,15.3,1
699,18.8,15,16.9,1
700,18.4,12,15.2,1
701,14,8,11,0
702,17,10,13.5,0
703,18.8,11.8,15.3,1
704,16.4,10.8,13.6,0
705,12.2,8,10.1,0
706,16,9.2,12.6,0
707,17.2,11.2,14.2,0
708,16.2,11.2,13.7,0
709,13.8,5,9.4,0
710,15.4,8.8,12.1,0
711,18.4,9,13.7,1
712,18.2,16.2,17.2,1
713,16.2,7.6,11.9,0
714,19.4,16.2,17.8,1
715,18.2,18.4,18.3,1
716,19.4,12.6,16,1
717,16.4,10.2,13.3,0
718,19.4,21,20.2,1
719,16,13.4,14.7,0
720,16.4,9.2,12.8,0
721,16.6,9,12.8,1
722,17.8,12,14.9,1
723,16,11.2,13.6,0
724,16.2,12.6,14.4,0
725,12.6,5,8.8,0
726,17.4,15,16.2,1
727,17,11.6,14.3,0
728,18,10.2,14.1,0
729,18.8,13,15.9,1
730,14.2,10.6,12.4,0
731,16.4,9,12.7,0
732,15.2,12,13.6,0
733,18.2,16.2,17.2,1
734,15.6,10.6,13.1,0
735,18.2,13.8,16,1
736,14.4,8.4,11.4,0
737,15.8,6.2,11,0
738,14,10.4,12.2,0
739,13.8,7.8,10.8,0
740,16.2,7.4,11.8,0
741,17.8,10.8,14.3,1
742,17.6,11.8,14.7,1
743,21,18.4,19.7,1
744,18,9,13.5,1
745,17.2,10,13.6,1
746,18,10.4,14.2,1
747,16.4,12.6,14.5,0
748,18.6,18,18.3,1
749,15.6,8,11.8,0
750,18.8,9.4,14.1,1
751,17,9.2,13.1,0
752,17.8,13,15.4,1
753,18,9.8,13.9,0
754,14.6,8.4,11.5,0
755,18.6,13.8,16.2,1
756,19.2,9.2,14.2,1
757,16,9.2,12.6,0
758,13.8,7.6,10.7,0
759,10.4,8.2,9.3,0
760,20,14.8,17.4,1
761,15.4,8.4,11.9,0
762,14.8,5.8,10.3,0
763,16,8.2,12.1,0
764,18,9.8,13.9,1
765,18.4,12.4,15.4,1
766,17.4,10.8,14.1,1
767,17.8,10.4,14.1,1
768,13.4,10.2,11.8,0
769,15,7.2,11.1,0
770,16.2,7.6,11.9,0
771,16.4,7,11.7,0
772,15.2,8.2,11.7,1
773,18,11.6,14.8,1
774,13.4,7.8,10.6,0
775,15.4,8.4,11.9,1
776,19.8,12.8,16.3,1
777,15.4,12.6,14,0
778,18.4,10.8,14.6,1
779,15.2,11.2,13.2,0
780,20,10,15,1
781,19.8,15.4,17.6,1
782,18.2,10.2,14.2,1
783,18.2,12.8,15.5,1
784,15,13,14,0
785,16,10.2,13.1,0
786,19.4,15.2,17.3,1
787,18.6,16.6,17.6,1
788,17.6,12,14.8,0
789,20,16.2,18.1,1
790,18.2,19.2,18.7,1
791,16.8,10,13.4,0
792,14.8,12.2,13.5,0
793,14,10,12,0
794,18.8,11.2,15,1
795,17.8,8.8,13.3,1
796,21.6,14.4,18,1
797,18.4,11.2,14.8,1
798,20.2,12.6,16.4,1
799,18.6,13.2,15.9,1
800,18.2,10.6,14.4,1
801,17.2,15.4,16.3,1
802,17,14.2,15.6,1
803,16.4,15.2,15.8,1
804,18,14,16,1
805,15.2,13.2,14.2,0
806,19.2,16.2,17.7,1
807,21.2,15,18.1,1
808,15,13,14,1
809,14,12,13,0
810,15.2,14,14.6,1
811,11.2,10.4,10.8,0
812,15,13,14,1
813,13,8,10.5,0
814,15.8,11.2,13.5,1
815,15.2,9,12.1,0
816,12.8,10.2,11.5,0
817,14,11,12.5,0
818,16.1,11.2,13.65,0
819,13.6,9.2,11.4,0
820,14.2,8.8,11.5,0
821,14.8,9.4,12.1,0
822,14.8,13,13.9,1
823,17,16,16.5,0
824,17.2,12.4,14.8,1
825,14.8,11.8,13.3,1
826,15,10.4,12.7,1
827,14,12.2,13.1,0
828,14.8,11.2,13,1
829,13,9.8,11.4,0
830,14,13.6,13.8,0
831,11.8,9.4,10.6,0
832,14,10.2,12.1,1
833,11.6,10,10.8,0
834,13.8,10,11.9,0
835,12.4,9.2,10.8,0
836,12.4,11.4,11.9,1
837,11.6,7.2,9.4,0
838,15,14.2,14.6,1
839,14,12,13,0
840,16.6,11.8,14.2,1
841,15,11.8,13.4,0
842,17,12,14.5,1
843,14,10.2,12.1,0
844,16.2,12.8,14.5,1
845,16,13,14.5,0
846,14.2,12,13.1,0
847,13,11,12,0
848,11.2,9,10.1,0
849,11.8,7.2,9.5,0
850,12,7,9.5,0
851,16,10,13,0
852,16.2,12.2,14.2,0
853,17,11.2,14.1,1
854,15,12,13.5,0
855,15.8,14,14.9,0
856,16.4,12.2,14.3,0
857,18.2,15.8,17,1
858,19.2,17,18.1,1
859,19.2,14,16.6,1
860,15.8,14,14.9,0
861,16.4,15,15.7,0
862,19.2,17.2,18.2,1
863,19,14.6,16.8,1
864,16.2,12.4,14.3,0
865,16,11,13.5,0
866,17,14,15.5,1
867,17.2,12,14.6,1
868,13,10,11.5,0
869,10,10,10,0
870,13,8,10.5,0
871,18.6,13,15.8,1
872,17,16,16.5,1
873,16.4,10,13.2,1
874,19.2,11.2,15.2,1
875,14.8,11.2,13,0
876,16.2,9.8,13,0
877,18,11,14.5,1
878,17.8,14.8,16.3,1
879,18.2,16.4,17.3,1
880,19,12.4,15.7,1
881,12.8,12.2,12.5,0
882,17,13.8,15.4,1
883,15.8,13.8,14.8,0
884,16.2,11.8,14,0
885,14.2,10.2,12.2,0
886,16,11,13.5,1
887,15,12,13.5,0
888,13,8.2,10.6,0
889,19.2,11.2,15.2,1
890,15,12.8,13.9,0
891,16,10,13,0
892,16.2,10.2,13.2,1
893,19.8,12,15.9,1
894,17.4,13.2,15.3,1
895,15,14,14.5,0
896,16.2,12.8,14.5,0
897,12.8,9,10.9,0
898,18,14,16,1
899,17.2,13,15.1,1
900,19.4,14.2,16.8,1
901,16.2,11.2,13.7,0
902,17.8,14.8,16.3,1
903,18.6,16.8,17.7,1
904,19.2,14,16.6,1
905,17,12.8,14.9,1
906,13,10,11.5,0
907,17.4,12,14.7,1
908,18.2,16.2,17.2,1
909,18,15,16.5,1
910,17,12,14.5,0
911,17.2,10,13.6,1
912,15.2,12,13.6,1
913,14,12,13,0
914,17,13.2,15.1,1
915,15,13,14,0
916,19,16,17.5,1
917,17,14,15.5,1
918,17,14.8,15.9,1
919,18.4,15,16.7,1
920,18.2,18.2,18.2,1
921,14,13.4,13.7,0
922,17.2,13.2,15.2,1
923,17.6,16.2,16.9,1
924,16.8,12.8,14.8,0
925,19,15,17,1
926,15,14,14.5,0
927,17.4,12,14.7,1
928,17.4,14,15.7,1
929,16.8,14,15.4,0
930,15,13,14,0
931,18.4,12.2,15.3,1
932,18.2,13,15.6,0
933,16.4,12.4,14.4,1
934,16.8,12,14.4,0
935,18,15,16.5,1
936,18,17.8,17.9,1
937,19,10.2,14.6,1
938,15,13.2,14.1,0
939,13.8,11.2,12.5,0
940,16.2,12.2,14.2,1
941,16.8,10,13.4,0
942,13,9.4,11.2,0
943,10.2,7.8,9,0
944,10,10,10,0
945,16.4,12.8,14.6,1
946,14,10.2,12.1,0
947,16.2,10.2,13.2,0
948,17,12.2,14.6,1
949,17.2,13,15.1,1
950,15.4,15,15.2,0
951,19.2,17.2,18.2,1
952,19,15.2,17.1,1
953,19,15.4,17.2,1
954,14,13,13.5,0
955,17,12,14.5,1
956,18,11.2,14.6,1
957,19.2,12.8,16,1
958,17.2,12,14.6,1
959,17.8,15.2,16.5,1
960,13.8,10.2,12,0
961,16.4,13,14.7,0
962,17.8,10.4,14.1,1
963,16,15,15.5,1
964,14,9.4,11.7,0
965,16,12.4,14.2,0
966,19.2,18,18.6,1
967,17.6,10,13.8,0
968,16.4,9.6,13,0
969,18.4,13.8,16.1,1
970,15.6,9.8,12.7,0
971,16.6,10.8,13.7,0
972,17.2,12.8,15,1
973,17.8,15.8,16.8,1
974,13.2,8,10.6,0
975,16.6,11.2,13.9,0
976,16.2,8.6,12.4,0
977,18.4,11.2,14.8,0
978,16.8,9.6,13.2,0
979,17.6,11.6,14.6,0
980,17.4,10.8,14.1,0
981,13,7.6,10.3,0
982,14.2,9.6,11.9,0
983,16.6,10.8,13.7,0
984,19.6,15.2,17.4,1
985,17.4,15.8,16.6,0
986,17.2,12.4,14.8,1
987,17.2,12,14.6,0
